1581431499.621, 1, -9.18, -1.96, 2.91, -1.37, -0.37, -1.12, -0.01, 0.05, 0.07, 0.13, -69.12, 35.25
1581431499.671, 1, -9.19, -1.95, 2.81, -1.12, -0.37, -1.19, -0.03, 0.06, -0.02, 0.13, -69.12, 35.31
1581431499.671, 1, -9.13, -1.93, 2.91, -0.88, -0.37, -1.31, 0.02, 0.08, 0.06, 0.13, -69.12, 35.38
1581431499.721, 1, -9.18, -1.94, 2.91, -1.06, -0.37, -1.06, -0.01, 0.08, 0.06, 0.13, -69.06, 35.44
1581431499.721, 1, -9.2, -1.91, 2.89, -0.88, 0.0, -1.37, -0.04, 0.11, 0.04, 0.19, -69.06, 35.56
1581431499.721, 1, -9.19, -1.88, 2.91, -0.5, -0.56, -1.44, -0.03, 0.15, 0.06, 0.19, -69.06, 35.56
1581431499.774, 1, -9.16, -1.9, 2.84, -0.69, -0.81, -1.69, 0.0, 0.13, 0.0, 0.19, -69.06, 35.63
1581431499.774, 1, -9.15, -1.88, 2.87, -0.56, -1.5, -1.69, 0.0, 0.16, 0.02, 0.25, -69.0, 35.63
1581431499.774, 1, -9.09, -1.9, 2.86, -1.0, -0.75, -1.44, 0.01, 0.14, 0.07, 0.25, -68.94, 35.69
1581431499.818, 1, -9.17, -1.86, 2.85, -0.56, -1.06, -1.0, 0.01, 0.18, -0.01, 0.25, -68.94, 35.69
1581431499.818, 1, -9.15, -1.9, 2.9, -0.88, -2.06, -0.69, 0.0, 0.14, 0.03, 0.25, -68.87, 35.69
1581431499.862, 1, -9.24, -1.89, 2.92, -0.62, -3.44, -0.37, -0.09, 0.16, 0.05, 0.25, -68.87, 35.63
1581431499.862, 1, -9.11, -1.91, 2.85, -0.19, -2.81, 0.25, 0.02, 0.13, -0.02, 0.25, -68.81, 35.5
1581431499.907, 1, -9.11, -1.89, 2.83, 0.06, -2.06, 1.25, 0.02, 0.16, -0.04, 0.19, -68.81, 35.44
1581431499.907, 1, -9.17, -1.79, 2.66, 0.44, -0.88, 1.56, -0.03, 0.26, -0.22, 0.19, -68.75, 35.31
1581431499.907, 1, -9.24, -1.75, 2.66, -0.88, -1.81, 1.94, -0.1, 0.28, -0.22, 0.13, -68.81, 35.19
1581431499.951, 1, -9.25, -1.74, 2.68, -3.75, -2.5, 1.94, -0.1, 0.28, -0.2, 0.0, -68.87, 35.06
1581431499.951, 1, -9.25, -1.77, 2.61, -5.25, -3.44, 2.75, -0.08, 0.17, -0.27, 359.81, -68.87, 34.94
1581431500.001, 1, -9.17, -1.93, 2.67, -5.19, -2.87, 3.12, -0.02, 0.08, -0.21, 359.69, -68.94, 34.81
1581431500.001, 1, -9.11, -1.96, 2.7, -3.69, -0.69, 4.75, 0.03, 0.04, -0.18, 359.56, -69.0, 34.69
1581431500.001, 1, -8.99, -1.91, 2.6, -0.94, -0.19, 5.5, 0.16, 0.07, -0.27, 359.44, -69.06, 34.5
1581431500.045, 1, -8.87, -1.92, 2.53, 1.25, -1.12, 5.94, 0.28, 0.05, -0.35, 359.37, -69.06, 34.31
